Paper;Architecture;Screeners;;Sum;
Crowder2014a;ACNF;Robin;;Robin;77
Birlo2011a;ACT-R;Mihai;;Kamyar;16
Reitter2012a;ACT-R;Mihai;;Daniel;12
Goldberg2022a;ALMA 2.0;Daniel;;Mihai;14
Arcos2011a;AML11;Mihai;;;
PellerKonrad2023a;ArmarX;Daniel;;;
Brody2013a;BCP13;Robin;;;
Kalish2010a;BICA;Robin, Kamyar;;;
Samsonovich2002a;BICA;Robin, Kamyar;;;
Samsonovich2003a;BICA;Robin, Kamyar;;;
Samsonovich2005a;BICA;Robin, Kamyar;;;
Samsonovich2005b;BICA;Robin, Kamyar;;;
Samsonovich2006a;BICA;Robin, Kamyar;;;
Samsonovich2008a;BICA;Robin, Kamyar;;;
Samsonovich2009a;BICA;Robin, Kamyar;;;
Samsonovich2009b;BICA;Robin, Kamyar;;;
Samsonovich2013a;BICA;Robin, Kamyar;;;
Samsonovich2013b;BICA;Robin, Kamyar;;;
Caro2017a;CARINA;Robin;;;
Caro2018a;CARINA;Robin;;;
CaroPineres2013a;CARINA;Robin;;;
CaroPineres2015a;CARINA;Robin;;;
CaroPineres2019a;CARINA;Robin;;;
Florez2018a;CARINA;Robin;;;
MaderaDoval2018a;CARINA;Robin;;;
Madrigal2018a;CARINA;Robin;;;
Sun2005a;CLARION;Mihai, Kamyar;;;
Sun2006a;CLARION;Mihai, Kamyar;;;
Sun2018a;CLARION;Mihai, Kamyar;;;
Nolte2023a;CRAM;Robin;;;
Daglarli2020a;D20;Mihai;;;
Mascarenhas2022a;FAtiMA;Robin;;;
Epstein2011a;FORR;Robin;;;
Samsonovich2010a;FORR;Robin;;;
Helgason2013a;H13;Robin;;;
Kennedy2011a;H-CogAff;Mihai;;;
Kennedy2018a;H-CogAff;Mihai;;;
Sloman2005a;H-CogAff;Mihai;;;
Moorman1997a;ISAAC;Daniel;;;
Kennedy2010b;K10;Mihai;;;
Kennedy2012a;K12;Robin, Kamyar;;;
Kennedy2021a;K21;Robin;;;
Kennedy2002a;KS02;Robin;;;
Kennedy2003a;KS02;Robin;;;
Kennedy2003b;KS02;Robin;;;
Hudlicka2005a;MAMID;Daniel;;;
MBale2014a;MCL Family;Daniel;;;
MBale2017a;MCL Family;Daniel;;;
Schmill2007a;MCL Family;Daniel;;;
CaroPineres2013b;Meta-AQUA;Robin;;;
Cox1991a;Meta-AQUA;Robin;;;
Cox1992a;Meta-AQUA;Robin;;;
Cox1994a;Meta-AQUA;Robin;;;
Cox1994b;Meta-AQUA;Robin;;;
Cox1995a;Meta-AQUA;Robin;;;
Cox1996a;Meta-AQUA;Robin;;;
Cox1997a;Meta-AQUA;Robin;;;
Cox1997b;Meta-AQUA;Robin;;;
Cox1999a;Meta-AQUA;Robin;;;
Cox2005a;Meta-AQUA;Robin;;;
Cox2005b;Meta-AQUA;Robin;;;
Cox2005c;Meta-AQUA;Robin;;;
Cox2007b;Meta-AQUA;Robin;;;
Cox2011c;Meta-AQUA;Robin;;;
Cox2011d;Meta-AQUA;Robin;;;
Galitsky2016a;Meta-AQUA;Robin;;;
Gordon2011a;Meta-AQUA;Robin;;;
Nissan2014b;Meta-AQUA;Robin;;;
Ram1995b;Meta-AQUA;Robin;;;
Cox2011a;Meta-AQUA, MIDCA;Robin;;;
Marshall2002a;Metacat;Robin;;;
Marshall2006a;Metacat;Robin;;;
York2012a;Metacat;Robin;;;
Cox2013a;MIDCA;Robin;;;
Cox2013b;MIDCA;Robin;;;
Cox2016a;MIDCA;Robin;;;
Cox2021a;MIDCA;Robin;;;
Dannenhauer2014a;MIDCA;Robin;;;
Dannenhauer2018a;MIDCA;Robin;;;
Mohammad2020a;MIDCA;Robin;;;
MunozAvila2015a;MIDCA;Robin;;;
Perlis2013a;MIDCA;Robin;;;
Caro2015a;MISM;Robin;;;
CaroPineres2014a;MISM;Robin;;;
Starzyk2015a;MIDCA;Robin;;;
Canbaloglu2023b;MT21;Mihai;;;
vanMents2021a;MT21;Mihai;;;
Wang2018a;NARS;Mihai;;;
Anderson2007a;Overview Paper;Robin, Kamyar;;;
Castelfranchi2019a;Overview Paper;Robin;;;
Kotseruba2020a;Overview Paper;Robin;;;
Carbonell1991a;PRODIGY;Robin, Daniel;;;
Langley2009a;PRODIGY, Overview Paper;Robin, Daniel;;;
Foltyn2006a;RCAA;Daniel;;;
Goel2011a;REM;Daniel;;;
Morgan2011a;SALS;Robin;;;
Morgan2013a;SALS;Robin;;;
Shrager1998a;SCADS;Daniel;;;
Laird2019a;Soar;Robin;;;
Thorisson2012a;Soar;Robin;;;
Jackson2019a;TalaMind;Robin;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
